I/mA	Ewe/V	P/W						Current density 	Voltage	Power density
2.63E+03	-5.29E-01	-1.39E+00								
2.68E+03	-5.25E-01	-1.41E+00								
2.73E+03	-5.22E-01	-1.43E+00								
2.79E+03	-5.18E-01	-1.44E+00								
2.84E+03	-5.15E-01	-1.46E+00								
2.89E+03	-5.12E-01	-1.48E+00								
2.94E+03	-5.08E-01	-1.49E+00								
2.99E+03	-5.05E-01	-1.51E+00								
3.04E+03	-5.02E-01	-1.53E+00								
3.09E+03	-4.98E-01	-1.54E+00								
3.14E+03	-4.95E-01	-1.56E+00								
3.19E+03	-4.91E-01	-1.57E+00								
